route_long_name,route_type,route_text_color,agency_id,route_id,route_color,route_short_name
Kaurilands To Green Bay High,3,,RTH,00553-20160803113210_v43.25,,005
Britomart To Red Hill Via Mahia Rd,3,,NZBWP,47206-20160729161628_v43.23,,472
Auckland Grammar To Remuera Via Benson Rd,3,,NZBML,01052-20160729161628_v43.23,,010
Otahuhu College To Otara,3,,NZBWP,03352-20160729161628_v43.23,,033
Britomart To Mt Wellington Via Ruawai Rd And Panama Rd,3,,NZBWP,51202-20160803113210_v43.25,,512
Inner Link Ponsonby To CBD Clockwise,3,,NZBML,79908-20160803113210_v43.25,,INN
Britomart To Glen Innes Via Khyber Pass Rd And Remuera Rd,3,,NZBML,62502-20160803113210_v43.25,,625
Manukau City Centre To Otahuhu Via Middlemore Hospital,3,,NZBWP,44703-20160803113210_v43.25,,447
May Rd To Civic Centre Via Flyover,3,,NZBML,25503-20160803113210_v43.25,,255
North Shore Schools to Whenuapai,3,,PBC,32852-20160729161628_v43.23,,328
Hobsonville To Henderson,3,,RTH,09203-20160729161628_v43.23,,092
City Centre To Ranui Via Te Atatu South,3,,NZBGW,09702-20160729161628_v43.23,,097
Britomart To Hospitals,3,,NZBML,28302-20160729161628_v43.23,,283
Papakura To Britomart Express Via Redoubt Rd,3,,NZBWP,47003-20160803113210_v43.25,,470X
City Centre to Westgate Via Massey East and Lincoln Rd,3,,RTH,09102-20160803113210_v43.25,,091
Botany Downs To Sancta Maria College,3,,HE,08953-20160729161628_v43.23,,089
Albany Station To Torbay,3,,NZBNS,88202-20160803113210_v43.25,,882
Onehunga High To Mangere East,3,,NZBML,00160-20160803113210_v43.25,,001
City Centre To Sturges Road Via Sunnyvale,3,,NZBGW,07902-20160803113210_v43.25,,079
Glendowie College To Remuera,3,,NZBML,07252-20160729161628_v43.23,,072
Henderson To Hobsonville,3,,RTH,09204-20160803113210_v43.25,,092
Rothesay Bay Shops To Westlake Schools,3,,NZBNS,01653-20160803113210_v43.25,,016
Manukau City Centre To Otahuhu Via Flat Bush And Otara,3,,NZBWP,49703-20160729161628_v43.23,,497
Blockhouse Bay To Civic Centre,3,,NZBML,25801-20160729161628_v43.23,,258
Somerville Intermediate To Dannemora,3,,HE,31552-20160729161628_v43.23,,315
Mt Roskill Grammar To Lynfield,3,,NZBML,26752-20160803113210_v43.25,,267
Sunnynook To East Coast Bays Schools.,3,,NZBNS,02857-20160803113210_v43.25,,028
New Lynn to Titirangi South Via Titirangi And French Bay,3,,NZBGW,17004-20160803113210_v43.25,,170
Panmure To Selwyn College,3,,HE,04655-20160803113210_v43.25,,046
Stella Maris School To Gulf Harbour,3,,BAYES,02260-20160803113210_v43.25,,022
City Centre To Helensville,3,,RTH,06002-20160729161628_v43.23,,060
City Centre To Massey Via Te Atatu Peninsula (S),3,,RTH,52507-20160729161628_v43.23,,N05
Papatoetoe To Britomart Via Mangere Town Centre,3,,NZBWP,32401-20160729161628_v43.23,,324
Britomart To Glen Innes Via Parnell And Remuera Rd,3,,NZBML,64502-20160803113210_v43.25,,645
Panmure To Homai Via Cavendish Dr And Highbrook,3,,HE,56103-20160803113210_v43.25,,561
Civic Centre To Lynfield Via Waikowhai,3,,NZBML,29902-20160729161628_v43.23,,299
Te Papapa To Civic Centre,3,,NZBML,39201-20160729161628_v43.23,,392
Dannemora To Macleans College,3,,HE,30251-20160803113210_v43.25,,302
Takapuna To Mayoral Dr Via Northcote,3,,RTH,92203-20160729161628_v43.23,,922
Civic Centre To Blockhouse Bay Via Flyover,3,,NZBML,25804-20160803113210_v43.25,,258
Rangitoto College To Sunnynook,3,,NZBNS,02856-20160729161628_v43.23,,028
Torbay School To Long Bay,3,,NZBNS,05856-20160729161628_v43.23,,058
